section,latin_chars_no_notes,english_chars_no_notes,length_ratio_en_la,aligned_by_number
1,588,825,1.403061224489796,True
2,253,380,1.5019762845849802,True
3,738,935,1.2669376693766938,True
4,776,1034,1.3324742268041236,True
5,199,260,1.306532663316583,True
6,623,648,1.0401284109149278,True
7,211,249,1.180094786729858,True
8,546,700,1.2820512820512822,True
9,434,559,1.2880184331797235,True
10,704,956,1.3579545454545454,True
11,1105,1555,1.407239819004525,True
12,584,770,1.3184931506849316,True
13,805,1118,1.3888198757763974,True
14,337,460,1.3649851632047478,True
15,822,974,1.1849148418491484,True
16,47,50,1.0638297872340425,True
17,333,492,1.4774774774774775,True
18,681,703,1.0323054331864905,True
19,89,372,4.179775280898877,True
20,462,665,1.4393939393939394,True
21,705,883,1.252482269503546,True
22,316,501,1.5854430379746836,True
23,694,913,1.3155619596541788,True
24,649,772,1.189522342064715,True
25,700,873,1.247142857142857,True
26,834,1059,1.2697841726618706,True
27,350,518,1.48,True
28,190,200,1.0526315789473684,True
29,373,468,1.2546916890080428,True
30,554,624,1.1263537906137184,True
31,889,1122,1.2620922384701911,True
32,601,704,1.1713810316139768,True
33,627,838,1.3365231259968102,True
34,567,757,1.3350970017636685,True
35,901,1245,1.3817980022197558,True
36,193,237,1.2279792746113989,True
37,664,881,1.3268072289156627,True
38,496,661,1.3326612903225807,True
39,399,504,1.263157894736842,True
40,208,253,1.2163461538461537,True
41,729,1042,1.429355281207133,True
42,251,324,1.2908366533864541,True
43,421,711,1.6888361045130642,True
44,385,459,1.1922077922077923,True
45,287,404,1.4076655052264808,True
46,483,608,1.25879917184265,True
47,147,181,1.2312925170068028,True
48,598,968,1.6187290969899666,True
49,478,641,1.3410041841004183,True
50,426,619,1.4530516431924883,True
51,143,210,1.4685314685314685,True
52,732,947,1.2937158469945356,True
53,639,982,1.5367762128325508,True
54,484,659,1.3615702479338843,True
55,723,993,1.3734439834024896,True
56,265,326,1.230188679245283,True
57,641,813,1.2683307332293292,True
58,132,175,1.3257575757575757,True
59,361,439,1.2160664819944598,True
60,1001,1189,1.187812187812188,True
61,235,286,1.2170212765957447,True
62,353,426,1.206798866855524,True
63,372,444,1.1935483870967742,True
64,450,631,1.4022222222222223,True
65,665,847,1.2736842105263158,True
66,191,259,1.356020942408377,True
67,505,655,1.297029702970297,True
68,406,533,1.312807881773399,True
69,777,1074,1.3822393822393821,True
70,392,533,1.3596938775510203,True
71,819,1007,1.2295482295482296,True
72,843,817,0.9691577698695136,True
73,327,413,1.2629969418960245,True
74,826,793,0.9600484261501211,True
75,715,922,1.2895104895104894,True
76,314,676,2.1528662420382165,True
77,432,581,1.3449074074074074,True
78,268,371,1.3843283582089552,True
79,330,466,1.412121212121212,True
80,670,902,1.346268656716418,True
81,30,125,4.166666666666667,True
82,543,711,1.3093922651933703,True
83,363,473,1.303030303030303,True
84,562,716,1.2740213523131672,True
