"Key","Item Type","Publication Year","Author","Title","Language","Publisher","Place","Notes"
"AinsworthUnknown","book","","Ainsworth, Robert","An Abridgement of the Last Quarto Edition of Ainsworth's Dictionary, English and Latin","Latin+English","","",""
"AlerUnknown","book","","Aler, Paul","Gradus ad Parnassum sive Novus Synonymorum, Epithetorum, et Phrasium Poeticarum Thesaurus","Latin","","",""
"Cooper1565","book","1565","Cooper, Thomas","Thesaurus Linguæ Romanæ & Britannicæ","Latin+English","Quondam Bertheleti, per Henricum W. Vykes","Londini",""
"CordierUnknown","book","","Cordier, Mathurin","Corderii Colloquiorum Centuria Selecta, or A Select Century of Cordery's Colloquies","Latin","","",""
"Faber1710","book","1710","Faber, Basil","Basilii Fabri Sorani Thesaurus Eruditionis Scholasticae","Latin","Apud Thomam Fritsch","Lipsiae",""
"Hederich1766","book","1766","Hederich, Benjamin","Graecum Lexicon Manuale","Greek+Latin","H. Woodfall","Londini",""
"Kuster1750","book","1750","Kuster, Ludolf","Lud. Kusterus de Vero Usu Verborum Mediorum","Greek+Latin","Prostant apud J. & J. Rivington","Londini",""
"LancelotUnknown","book","","Lancelot, Claude","A New Method of Learning with Greater Facility the Greek Tongue","English+Greek","","",""
"Littleton1678","book","1678","Littleton, Adam","Linguae Latinae Liber Dictionarius Quadripartitus = A Latine Dictionary in Four Parts","Latin+English","Printed for T. Basset, J. Wright, and R. Chiswell","London",""
"Ruddiman1769","book","1769","Ruddiman, Thomas","The Rudiments of the Latin Tongue or, a Plain and Easy Introduction to Latin Grammar","English+Latin","Printed by Wal Ruddiman, J Richardson and Company","Edinburgh",""
"Scapula1628","book","1628","Scapula, Johann","Lexicon Græco-Latinum Novum","Greek+Latin","Apud Henricpetrinos","Basileæ",""
"Unknown1800","book","1800","Unknown","A Grammar of the Greek Language","English+Greek","by I. Thomas and E.T. Andrews","Boston",""
"Arrowsmith1804","book","1804","Arrowsmith, Aaron","A New and Elegant General Atlas","English","John Conrad & Co.","Philadelphia",""
"Encyclopaedia1798","book","1798","Encyclopaedia","Encyclopaedia, or, A Dictionary of Arts, Sciences, and Miscellaneous Literature","English","Printed by Thomas Dobson","Philadelphia",""
