"Key","Item Type","Publication Year","Author","Title","Language","Publisher","Place","Volumes","Notes"
"Pausanias1583","book","1583","Pausanias","Pausaniou Tēs Hellados Periēgēsis = Hoc Est, Pausaniae Accurata Graeciae Descriptio","Greek+Latin","Apud haeredes Andreae Wecheli","Francofurti","",""
"Aelian1701","book","1701","Aelian","Kl. Ailianou Sophistou Poikilē Historia = Cl. Aeliani Sophistae Varia Historia","Greek+Latin","Apud Johannem du Vivie, Isaacum Severinum","Lugduni in Batavis","",""
"Appianus1670","book","1670","Appianus, of Alexandria","Appianou Alexandreōs Rōmaika = Appiani Alexandrini Romanarum Historiarum pars Prior","Greek+Latin","Ex officinâ Joh. Janssonii à Waesbergen, et Johannis à Someren","Amstelodami","",""
"Diodorus1746","book","1746","Diodorus, Siculus","Diodōrou tou Sikeliōtou Bibliothēkēs Historikēs ta Sōzomena = Diodori Siculi Bibliothecae Historicae Libri qui Supersunt","Greek+Latin","Sumptibus Jacobi Wetstenii","Amstelodami","",""
"Herodotus1763","book","1763","Herodotus","Hērodotou Halikarnēssēos Historiōn Logoi 9 = Herodoti Halicarnassei Historiarum Libri IX","Greek+Latin","Sumptibus Petri Schoutenii","Amstelodami","9 books",""
"Herodotus1761","book","1761","Herodotus","Hē tou Hērodotou Halikarnasseōs Historia = Herodoti Halicarnassensis Historia","Greek+Latin","In aedibus academicis, Excudebant Robertus et Andreas Foulis","Glasguae","",""
"Polybius1670","book","1670","Polybius","Historiōn ta Sōzomena: Polybii Lycortae F. Megalopolitani Historiarum Libri qui Supersunt","Greek+Latin","Officina Johannis Janssonii à Waesberge, & Johannis van Someren","Amstelodami","",""
"Polybius1763","book","1763-1764","Polybius","Polybiou tou Lykorta Megalopolitou Historiōn ta Sōzomenea","Greek+Latin","","Leipzig","",""
"Demetrius1743","book","1743","Demetrius","Demetriou Phalēreōs Peri Hermēneias = Demetrii Phalerei De Elocutione","Greek+Latin","ex officina Roberti Foulis","Glasguae","",""
"Demosthenes1604","book","1604","Demosthenes","Demosthenis et Æschinis Principum Graeciae Oratorum Opera","Greek+Latin","Apud Claudium Marnium, & haeredes Iohannis Aubrii","Francofurti","",""
"Demosthenes1755","book","1755","Demosthenes","Dēmosthenous Logoi Eklektoi = Demosthenis Selectæ Orationes","Greek+Latin","apud Joseph. & Thomam Pote","Etonæ","",""
