"Key","Item Type","Publication Year","Author","Title","Language","Publisher","Place","Volumes","Notes"
"Cluver1651","book","1651","Clüver, Philipp","Philippi Cluverii Introdvctionis in Universam Geographiam tam Veterem Quam Novam Libri VI","Latin","Apud Ludovicum Elzevirium","Amstelodami","6 books",""
"Guys1783","book","1783","Guys, M.","Voyage Littéraire de la Grèce: Ou, Lettres sur les Grecs, Anciens et Modernes","French","Veuve Duchesne","Paris","",""
"LeRoy1759","book","1759","Le Roy, David","Ruins of Athens, with Remains and Other Valuable Antiquities in Greece","English","R. Sayer","London","",""
"Sandys1673","book","1673","Sandys, George","Sandys Travels, Containing an History of...Greece...and Italy Described","English","Printed for J. Williams junior","London","",""
"Stuart1762","book","1762-1830","Stuart, James and Nicholas Revett","The Antiquities of Athens","English","J. Haberkorn","London","",""
"Potter1728","book","1728","Potter, John","Archæologia Græca: or, The Antiquities of Greece","English","Printed for J. Knapton","London","",""
"Savary1785","book","1785-1786","Savary, M. Claude Etienne","Lettres sur l'Égypte, Où l'on Offre le Parallèle des Moeurs Anciennes & Modernes","French","Onfroi","Paris","",""
"Vinnius1726","book","1726","Vinnius, Arnoldus","In Quatuor Libros Institutionum Imperialium Commentarius: Academicus & Forensis","Latin","Apud Joannem van der Linden, Juniorem","Lugduni Batavorum","",""
"Horace1768","book","1768","Horace","Q. Horatii Flacci Epistolae ad Pisones, et Augustum with an English Commentary and Notes","Latin+English","Printed by Sarah Stringer","Dublin","",""
"Jodrell1781","book","1781","Jodrell, Richard P.","Illustrations of Euripides, on the Ion and the Bacchae","English","Printed by J. Nichols","London","",""
"Lucretius1759","book","1759","Lucretius Carus, Titus","Titi Lucretii Cari De Rerum Natura Libri Sex: ex Editione Thomae Creech, Explain'd and Illustrated with Notes","Latin+English","In Aedibus Academicis","Glasguae","6 books",""
"VariousUnknown","book","","Various","Musæ Anglicanæ sive Poemata Quædam Melioris Notæ","Latin","","","","Precise edition unknown"
"VirgilUnknown","book","","Virgil","P. Virgilii Maronis Bucolica P. Rami... Praelectionibus Exposita","Latin","","","","Precise edition unknown"
"Erasmus1663","book","1663","Erasmus, Desiderius","Adagiorum D. Erasmi Roterodami Epitome","Latin","Ex officina Elzeviriana","Amstelodami","",""
"Blackwall1737","book","1737","Blackwall, Anthony","The Sacred Classics Defended and Illustrated","English","Printed for C. Rivington","London","",""
"Bryant1775","book","1775-1776","Bryant, Jacob","A New System, or, an Analysis of Ancient Mythology","English","Printed for T. Payne","London","",""
"BuchananUnknown","book","","Buchanan, George","Psalmorum Sacrorum Davidis Libri Quinque Duplici Poetica Metaphrasi","Latin","","","5 books","Precise edition unknown"
"ChurchofEngland1665","book","1665","Church of England","Biblos tēs Dēmosias Euchēs... (Book of Common Prayer in Greek)","Greek","Exetypōthē par' Iōannou Phieldou","En tē Kantabrigia","",""
"ChurchofEngland1744","book","1744","Church of England","Liturgia: Seu Liber Precum Communium... (Book of Common Prayer in Latin)","Latin","Typis G. Bowyer","Londini","",""
"Grotius1696","book","1696","Grotius, Hugo","De Veritate Religionis Christianae","Latin","Apud Henricum Wetstenium","Amstelaedami","",""
"Lowth1763","book","1763","Lowth, Robert","De Sacra Poesi Hebræorum","Latin","e typographeo Clarendoniano","Oxonii","",""
"More1679","book","1679","More, Henry","Henrici Mori Cantabrigiensis Opera Omnia tum Quae Latine, tum Quae Anglice Scripta","Latin+English","Typis J. Macock","Londini","",""
"Cato1922","book","1922","","The distichs of Cato : a famous medieval textbook / translated from the Latin, with introductory sketch, by Wayland Johnson Chase.","eng","[University of Wisconsin]","wiu","",""
"Raleigh1708","book","1708","Raleigh, Walter, Sir, 1552?-18.","The general history of the world, being an abridgment of Sir Walter Raleigh. With a continuation from the best historians to the present times.","eng","printed for A. Bell, R. Smith, and J. Round","enk","4 vols.",""
"Middleton1742","book","1742","Middleton, Conyers, 1683-1750","The history of the life of Marcus Tullius Cicero ... by Conyers Middleton, D. D.","eng","Printed for W. Innys and R. Manby","enk","3 vols.",""
"Gillies1786","book","1786","Gillies, John, 1747-1836","The history of Ancient Greece, its colonies and conquests; from the earliest accounts till the division of the Macedonian empire in the East. Including the history of literature, philosophy, and the fine arts. by John Gillies.","eng","Burnett, Colles, Moncrieffe, etc.","ie","3 vols.",""
"Potter1740","book","1740","Potter, John, 1673 or 1674-1747.","Archaeologica graeca, or, The antiquities of Greece / John Potter ; introd. by Robert D. Richardson, Jr.","eng","printed for H. Knaplock","enk","",""
"Gibbon1789","book","1789","Gibbon, Edward, 1737-1794.","The history of the decline and fall of the Roman Empire. By Edward Gibbon, esq.","eng","Basil","enk","12 vols.",""
"Diekmann1874","book","1874","Diekmann, John.","Dryden's Virgil compared with the Latin original.","eng","C. Boldt","gw","",""
"Stanyan1751","book","1751","Stanyan, Temple, 1675-1752.","The Grecian history. From the original of Greece, to the death of Philip of Macedon / By Temple Stanyan, esq.","eng","J. and R. Tonson","enk","2 vols.",""
"Moyle1726","book","1726","Moyle, Walter, 1672-1721.","The works of Walter Moyle ... none of which were ever before published.","eng","J. Darby, [etc.]","enk","",""
"Echard1706","book","1706","Echard, Laurence, 1670?-1730.","The Roman history, from the building of the city ... [to the taking of Constantinople by the Turks]","eng","","enk","4+ vols.",""
"Vertot1756","book","1756","Vertot, abbé de, 1655-1735.","The History of the revolutions that happened in the government of the Roman republic; written in French by the Abbot de Vertot ... Englished by Mr. Ozell ...","eng","pr. by George Abraham Griersin and A. Ewing","ie","2 vols.",""
"Rollin1750","book","1750","Rollin, Charles, 1661-1741.","The Roman history, from the foundation of Rome to the battle of Actium. Translated from the French.","eng","R. Reilly","ie","16 vols.",""
"Mitford1829","book","1829","Mitford, William, 1744-1827.","The history of Greece. By William Mitford, esq.","eng","Printed for T. Cadell","xx","8 vols.",""
"Montagu1759","book","1759","Montagu, Edward Wortley, 1713-1776.","Reflections on the rise and fall of the ancient republicks, adapted to the present state of Great Britain.","eng","A. Millar","enk","",""
"Kennett1822","book","1822","Kennett, Basil, 1674-1715","Romae antiquae notitia : or, The antiquities of Rome. In two parts. To which are prefixed two essays, concerning the Roman learning and the Roman education. By Basil Kennett.","eng","Hickman & Hazzard","pau","",""
"Gibbon1787","book","1787-89","Gibbon, Edward, 1737-1794.","The history of the decline and fall of the Roman Empire. By Edward Gibbon ....","eng","Printed for J.J. Tourneisen","xx","",""
"Rollin1805","book","1805","Rollin, Charles, 1661-1741.","The ancient history of the Egyptians, Carthaginians, Assyrians, Babylonians, Medes & Persians, Macedonians, and Grecians. / By Charles Rollin.","eng","J. Bioren & T.L. Plowman","pau","8 vols.",""
"Glover1737","book","1737","Glover, Richard, 1712-1785.","Leonidas: a poem.","eng","Printed by R. Reilly, for J. Smith and W. Bruce","ie","",""
"Addison1750","book","1750","Addison, Joseph, 1672-1719.","Cato : A tragedy.","eng","J. and R. Tonson and S. Draper","xx","",""
"Knox1791","book","1791","Knox, Vicesimus, 1752-1821.","Elegant epistles.","eng","","ie","",""
