Category,Author,Title,Source Type,Language,Publication Information,Year
Dictionaries & Grammars,Ainsworth, Robert,"An Abridgement of the Last Quarto Edition of Ainsworth's Dictionary, English and Latin",Reference Work,Latin+English,"Precise edition unknown",
Dictionaries & Grammars,Aler, Paul,"Gradus ad Parnassum sive Novus Synonymorum, Epithetorum, et Phrasium Poeticarum Thesaurus",Reference Work,Latin,"Precise edition unknown",
Dictionaries & Grammars,Cooper, Thomas,"Thesaurus Linguæ Romanæ & Britannicæ",Reference Work,Latin+English,"Londini: Quondam Bertheleti, per Henricum W. Vykes",1565
Dictionaries & Grammars,Cordier, Mathurin,"Corderii Colloquiorum Centuria Selecta, or A Select Century of Cordery's Colloquies",Reference Work,Latin,"Precise edition unknown",
Dictionaries & Grammars,Faber, Basil,"Basilii Fabri Sorani Thesaurus Eruditionis Scholasticae",Reference Work,Latin,"Lipsiae: Apud Thomam Fritsch",1710
Dictionaries & Grammars,Hederich, Benjamin,"Graecum Lexicon Manuale",Reference Work,Greek+Latin,"Londini : H. Woodfall",1766
Dictionaries & Grammars,Kuster, Ludolf,"Lud. Kusterus de Vero Usu Verborum Mediorum",Reference Work,Greek+Latin,"Londini: Prostant apud J. & J. Rivington ...",1750
Dictionaries & Grammars,Lancelot, Claude,"A New Method of Learning with Greater Facility the Greek Tongue",Reference Work,English+Greek,"Precise edition unknown",
Dictionaries & Grammars,Littleton, Adam,"Linguae Latinae Liber Dictionarius Quadripartitus = A Latine Dictionary in Four Parts",Reference Work,Latin+English,"London: Printed for T. Basset, J. Wright, and R. Chiswell",1678
Dictionaries & Grammars,Ruddiman, Thomas,"The Rudiments of the Latin Tongue or, a Plain and Easy Introduction to Latin Grammar",Reference Work,English+Latin,"Edinburgh: Printed by Wal Ruddiman, J Richardson and Company",1769
Dictionaries & Grammars,Scapula, Johann,"Lexicon Græco-Latinum Novum",Reference Work,Greek+Latin,"Basileæ: Apud Henricpetrinos",1628
Dictionaries & Grammars,Unknown,"A Grammar of the Greek Language",Reference Work,English+Greek,"1st American ed. Boston: by I. Thomas and E.T. Andrews",1800
Geography & Travel,Clüver, Philipp,"Philippi Cluverii Introdvctionis in Universam Geographiam tam Veterem Quam Novam Libri VI",Secondary Source,Latin,"Amstelodami: Apud Ludovicum Elzevirium",1651
Geography & Travel,Guys, M.,"Voyage Littéraire de la Grèce: Ou, Lettres sur les Grecs, Anciens et Modernes",Secondary Source,French,"3rd ed. Paris: Veuve Duchesne",1783
Geography & Travel,Le Roy, David,"Ruins of Athens, with Remains and Other Valuable Antiquities in Greece",Secondary Source,English,"London: R. Sayer",1759
Geography & Travel,Pausanias,"Pausaniou Tēs Hellados Periēgēsis = Hoc Est, Pausaniae Accurata Graeciae Descriptio",Primary Source,Greek+Latin,"Francofurti: Apud haeredes Andreae Wecheli",1583
Geography & Travel,Sandys, George,"Sandys Travels, Containing an History of...Greece...and Italy Described",Secondary Source,English,"7th ed. London: Printed for J. Williams junior",1673
Geography & Travel,Strabo,"Strabonis Rerum Geographicarum Libri XVII",Primary Source,Latin,"Lutetiae Parisiorum : Typis regiis",1620
Geography & Travel,Stuart, James and Nicholas Revett,"The Antiquities of Athens",Secondary Source,English,"London: J. Haberkorn",1762-1830
History,Aelian,"Kl. Ailianou Sophistou Poikilē Historia = Cl. Aeliani Sophistae Varia Historia",Primary Source,Greek+Latin,"Lugduni in Batavis: Apud Johannem du Vivie, Isaacum Severinum",1701
History,Appianus, of Alexandria,"Appianou Alexandreōs Rōmaika = Appiani Alexandrini Romanarum Historiarum pars Prior",Primary Source,Greek+Latin,"Amstelodami: Ex officinâ Joh. Janssonii à Waesbergen, et Johannis à Someren",1670
History,Barthélemy, J.J.,"Travels of Anacharsis the Younger in Greece",Secondary Source,Translation into English,"London : G.G. and J. Robinson",1796
History,Caesar, Julius,"C. Julii Caesaris Quae Exstant",Primary Source,Latin,"Edition tertia. Londini: E [sic] typographaeo Mariae Matthews",1719
