Δαρείου	OF DARIUS
καὶ	and
Παρυσάτιδος	Parysatis
γίγνονται	are-born
δύο	two
παῖδες,	sons,
πρεσβύτερος	(the) elder
μὲν	(indeed)
᾿Αρταξέρξης,	Artaxerxes,
δὲ	(but)
νεώτερος	(the) younger
Κῦρος.	Cyrus.
Ἐπεὶ	After
δὲ	Darius
Δαρεῖος	was-sick,
ἠσθένει	and
καὶ	suspected
ὑπώπτευε	(the)
τελευτὴν	end
τοῦ	(of-the) (his)
βίου,	life,
ἐβούλετο	he-desired
τὼ	(the)
ἀμφοτέρω	both (his)
παῖδε	sons
παρεῖναι.	to-be-present (with him).
Ὁ	The
πρεσβύτερος	elder
μὲν	indeed
οὖν	(therefore)
ἐτύγχανε παρῶν·	happened | (being-present) (to be present);
δὲ	but
μεταπέμπεται	he-sends for
Κῦρον	Cyrus
ἀπὸ	from
τῆς	the
ἀρχῆς,	government,
ἧς	of-which
αὐτὸν	he (had) made
ἐποίησε	him
σατραπην	satrap,
και	and
ἀπέδειξε	he (had) appointed
αὐτὸν	him
δὲ	also
στρατηγὸν	commander
πάντων,	of-all (the forces),
ὅσοι	as-many-as
ἀθροίζονται	muster
εἰς	in
πεδίον	(the) plain
Καστωλοῦ.	of-Castolus.
Ὁ	Cyrus
Κῦρος	therefore
οὖν	goes-up
ἀναβαίνει	(to his father)
λαβών	having-taken (with him)
Τισσαφέρνην	Tissaphernes
ὡς	as
φίλον,	(a) friend.
καὶ	and
ἀνέβη	he-went-up
ἔχων	having
δὲ	also (with him)
τριακοσίους	three-hundred
όπλιτας	heavy-armed-men
τῶν	of-the
Ἑλλήνων,	Greeks,
ἄρχοντα	(and) (the) commander
δὲ	also
αὐτῶν	of-them
Ξενιαν	Xenias
Παῤῥάσιον.	(the) Parrhasian.
Ἐπεὶ	After
δὲ	Darius
Λαρεῖος	died,
ἐτελεύτησε,	and
καὶ	Artaxerxes
᾿Αρταξέρξης	was-established
κατέστη	in
εἰς	the
τὴν	kingdom,
βασιλείαν,	Tissaphernes
Τισσαφέρνης	саlumniates
διαβάλλει	Cyrus
τὸν	to
Κῦρον	(the) (his)
πρὸς	brother,
τὸν	as-how-that
ἀδελφόν,	he-might-be-plotting
ὡς	against-him.
ἐπιβουλεύοι	(Artaxerxes)
αὐτῷ.	indeed
Ὁ	believes
δὲ	(this)
πείθεται	and
τε	also
καὶ	he-arrests
συλλαμβάνει	Cyrus
Κύρον	| as-if
ὡς	about-killing;
ἀποκτενῶν·	with the intention of putting him to death;)
δὲ	but
ἡ	(the) (his)
μήτηρ	mother
ἐξαιτησαμένη	having-entreated-for-her-own-sake (pardon for) him
αὐτὸν,	sends
ἀποπέμπει	(him)
πάλιν	back
ἐπὶ	to
τὴν	(his)
ἀρχήν.	government.
Ὁ	But
δ᾽	when
ὡς	he-departed,
ἀπῆλθε,	(after)
κινδυνεύσας	having-been-in-danger
καὶ	and
ἀτιμασθείς,	disgraced,
βουλεύεται	he-deliberates
ὅπως	how
μήποτε	he-shall never
ἔσται	be
ἔτι	hereafter (dependent)
ἐπὶ	on
τῷ	(his)
ἀδελφῷ,	brother,
ἀλλ᾽	but
ἣν	if
δύνηται	he-could
βασιλεύσει	he-would-reign
ἀντ᾽	instead
ἐκείνου.	of-him.
Παρύσατις	Parysatis
μὲν	indeed
δὴ	the
ἡ	mother
μητηρ	went-for
ὑπῆρχη	-
τῷ	Cyrus,
Κύρῳ,	loving
φιλοῦσα	him
αὐτὸν	more
μᾶλλον	than
ἢ	the
τὸν	reigning
βασιλεύοντα	Artaxerxes.
᾿Αρταξέρξην.	Whoever
Ὅστις	indeed
δ᾽	used-to-come
ἀφικνεῖτο	to
πρὸς	him
αὐτον	f-the
τῶν	(persons sent)
παρὰ	from
βασιλέως,	(the) king,
οὕτω	| having so
διατιθεὶς	disposer
πάντας,	all,
ὥστε	[having so disposed all towards himself,) that
ἀπεπέμπετο	he-used-to-send (them) away from-him (inclined)
εἶναι	to-be
φίλους	friends
αὐτῷ	to-himself
μᾶλλον	more
ἢ	than
βασιλεῖ.	to (the) king.
Καὶ	And
δὲ	also
ἐπεμελεῖτο	he-took-care
τῶν	of-the
βαρβάρων	barbarians
παρ'	with
ἑαυτῷ,	him,
ὡς	in-order-that
τε	not-only
εἴησαν	they-might-be
ἱκανοὶ	fit
πολεμεῖν	to-wage-war
καὶ	but-also
εὐνοϊκῶς	| might-have (themselves) [might be]
ἔχοιεν	well-disposed
αὐτῷ.	to-him.
Δὲ	But
ἤθροιζε	he-collected
τὴν	the
Ἑλληνικὴν	Greek
δύναμιν	force
ἐπικρυπτόμενος	concealing (this)
ὡς	as
μάλιστα	most
ἐδύνατο,	he-could,
ὅπως	in-order that
ὅτι	he-might-take
λάβοι	the-king
βασιλέα	the-most-unprepared.
ἀπαρασκευότατον.	Thus
Ὧδε	therefore
οὐ	did-be-make
ἐποιεῖτο	the
τὴν	collection
συλλογήν.	(of troops).
Ὁπόσας	As-many
φυλακάς	garrisons as
εἶχε	ne-had
ἐν	in
ταῖς	the
πόλεσι,	cities,
παρήγγειλε	he-sent-instructions
τοῖς	to-each
ἑκάστοις	commander-of-them
Φρουράρχοις	to-take
λαμβάνειν	Peloponnesian
Πελοποννησίους	men
ἄνδρας	as
ὅτι	many-as
πλείστους	(they could)
καὶ	and
βελτίστους,	(he) best (soldiers),
ὡς	inasmuch-a
Τισσαφέρνους	Tissaphernes
ἐπιβουλεύοντος	is-plotting-against
ταῖς	the
πόλεσι.	cities.
Καὶ	For
γὰρ	the
αἱ	Ionian
Ἰωνικαὶ	cities
πόλεις	were
ἦσαν	formerly
τὸ	(under the
ἀρχαῖον	government)
Τισσαφέρνους,	of-Tissaphernes,
δεδομέναι	(they) having-been-given (to him)
ἐκ	by
βασιλέως,	(the) king,
τότε	afterwards
δ᾽	they-had-revolted
ἀφεστήκεσαν	to
πρὸς	Cyrus
Κύρον	all
πᾶσai	(of them)
πλὴν	except
Μιλήτου.	Miletus.
Δε	But
Τισσαφέρνης	Tissaphernes
προαισθόμενος	having-beforehand-perceived
ἑν	(that certain persons) in
Μιλήτῳ	Miletus
βουλευομένους	are-planning
τὰ	these
αὐτὰ	very-same
ταῦτα	(things)
ἀποστῆναι	| to-have-revolted [to revolt]
προς	to
Κῦρον,	Cyrus,
τοὺς	| the
μὲν	indeed [some indeed]
αὐτῶν	of-them
ἀπέκτεινε,	he-killed,
τοὺς	| the
δ'	but
ἐξέβαλεν.	[but others] he-banished.
Ὁ	But
δὲ	Cyrus
Κῦρος	having-received
ὑπολαβῶν	| (the
τοὺς	fleeing) (the exiles)
φεύγοντας	(and)
συλλέξας	having-collected (an)
στράτευμα	army
ἐπολιόρκει	he-besieged
Μίλητον	Miletus
καὶ	both
